"Field Name","Alias","Description","Type"
"Total_Contract_Months","","The number of months allowed on the current contract.","Numeric"
"Bid_Number","","The original bid number under which the current contract was obtained.","Text"
"Contract_Number","","The current contract number.","Text"
"Contract_Description","","The general category of contracted services.","Text"
"Start_Date","","The start date of the current term of the contract.","Numeric"
"End_Date","","The end date of the current term of the contract.","Numeric"
"Contract_Type","","The type of contract - whether it is a Public Works contract or SS&E (supplies, equipment, and non-professional services).","Text"
"Vendor_Name","","The name of the vendor currently holding the contract.","Text"
"Remaining_Contract_Months","","The number of months remaining on the current term of the contract. If the months remaining is zero, this means the end date expired during the time period reported.","Numeric"
"Total_Transactions","","The total amount of all payments initiated during the reported quarter. This does not represent the total amount of payments for the life of the contract or for the active term, only those initiated during the reported quarter. Additionally, the payments","Numeric"
"Department_Name","","The name of the contracting department. Due to the manner in which data is captured for public works contracts versus how it is captured for supplies, equipment and non-professional services contracts (SS&E), a department name is not available for SS&E contracts.","Text"
"Contract_Amount","","Total amount awarded by a contract over entire duration. Does not represent amount disbursed within that quarter.","Currency"
"Quarter","","Quarter of fiscal year in which the payment(s) (if any) occurred for the current contract.","Text"
"ID","","Unique record identifier","Numeric"
